Language,High-resource accuracy,Best high-resource team,Medium-resource accuracy,Best medium-resource team,Low-resource accuracy,Best low-resource team
Adyghe,100.00,uzh-2,94.40,uzh-1,90.60,ua-8
Albanian,98.90,bme-2,88.80,iitbhu-iiith-2,36.40,uzh-1
Arabic,93.70,uzh-1,79.40,uzh-1,45.20,uzh-1
Armenian,96.90,bme-2,92.80,uzh-1,64.90,uzh-1
Asturian,98.70,uzh-1,92.40,iitbhu-iiith-2,74.60,uzh-2
Azeri,100.00,axsemantics-2,96.00,iitbhu-iiith-2,65.00,iitbhu-iiith-2
Bashkir,99.90,uzh-2,97.30,uzh-2,77.80,iitbhu-iiith-1
Basque,98.90,bme-2,88.10,iitbhu-iiith-2,13.30,uzh-1
Belarusian,94.90,uzh-1,70.40,uzh-1,33.40,ua-8
Bengali,99.00,bme-3,99.00,uzh-2,72.00,uzh-2
Breton,100.00,waseda-1,96.00,uzh-2,72.00,uzh-1
Bulgarian,98.30,uzh-2,83.80,uzh-2,62.90,ua-8
Catalan,98.90,uzh-2,92.80,waseda-1,72.50,ua-8
Classical Syriac,100.00,axsemantics-1,100.00,axsemantics-2,96.00,uzh-2
Cornish,,-,70.00,uzh-1,40.00,ua-4
Crimean Tatar,100.00,iit-varanasi-1,98.00,uzh-2,91.00,iitbhu-iiith-2
Czech,94.70,uzh-1,87.20,uzh-1,46.50,uzh-2
Danish,95.50,uzh-1,80.40,uzh-1,87.70,ua-6
Dutch,97.90,uzh-1,85.70,uzh-1,69.30,ua-6
English,97.10,uzh-2,94.50,uzh-1,91.80,ua-8
Estonian,98.40,uzh-2,81.60,uzh-1,35.20,uzh-1
Faroese,87.10,bme-2,72.60,uzh-1,49.80,ua-8
Finnish,95.40,uzh-1,82.80,uzh-1,25.70,uzh-1
French,90.40,uzh-2,80.90,uzh-2,66.60,uzh-2
Friulian,99.00,axsemantics-2,97.00,iitbhu-iiith-1,79.00,uzh-2
Galician,99.50,uzh-1,90.80,uzh-1,61.10,uzh-2
Georgian,99.10,uzh-1,94.00,uzh-2,88.20,ua-8
German,90.20,uzh-2,80.10,uzh-1,67.10,ua-3
Greek,91.70,uzh-1,75.50,uzh-2,32.30,uzh-1
Greenlandic,,-,98.00,uzh-2,80.00,iitbhu-iiith-1
Haida,100.00,axsemantics-2,94.00,uzh-2,63.00,uzh-2
Hebrew,99.50,uzh-1,85.40,uzh-1,56.70,ua-8
Hindi,100.00,axsemantics-1,97.60,uzh-2,78.00,uzh-2
Hungarian,87.20,uzh-1,74.50,iitbhu-iiith-2,48.20,ua-8
Icelandic,91.30,uzh-1,73.80,uzh-1,56.20,ua-8
Ingrian,,-,92.00,uzh-2,46.00,iitbhu-iiith-2
Irish,91.50,uzh-2,77.10,uzh-1,37.70,uzh-1
Italian,98.00,uzh-2,95.10,uzh-2,57.40,uzh-2
Kabardian,100.00,hamburg-1,100.00,bme-2,92.00,uzh-1
Kannada,100.00,bme-3,94.00,uzh-2,61.00,uzh-1
Karelian,,-,100.00,uzh-2,94.00,ua-5
