Source Language,Target Language,Distance,Baseline Accuracy,Best Transfer Accuracy,Accuracy Improvement,Accuracy Improvement vs. 2018,Best Accuracy Team,Baseline Levenshtein,Best Transfer Levenshtein,Levenshtein Improvement,Best Levenshtein Team,POS distribution overlap,N category overlap,V category overlap,ADJ category overlap,DET category overlap
Adyghe,Kabardian,Closely related,96.0,97.0,1.0,5.0,Tuebingen-02,0.04,0.03,-0.01,Tuebingen-02,0.9954000000000001,1.0,,0.88,
Albanian,Breton,Distantly related,40.0,81.0,41.0,9.0,CMU-03,1.3,0.44,-0.86,it-ist-02,0.7957,0.0,0.48,,
Arabic,Classical Syriac,Closely related,66.0,92.0,26.0,-4.0,CMU-03,0.46,0.1,-0.36,CMU-03,0.5311,0.19,0.0,0.38,
Arabic,Maltese,Closely related,31.0,41.0,10.0,-8.0,CMU-03,1.42,1.37,-0.05,CMU-03,0.4282,0.0,0.52,0.0,
Arabic,Turkmen,Unrelated,74.0,84.0,10.0,-6.0,CMU-03,0.46,0.32,-0.14,CMU-03,0.4311,0.38,0.0,0.0,
Armenian,Kabardian,Unrelated,83.0,87.0,4.0,-5.0,it-ist-01,0.21,0.14,-0.07,CMU-03/it-ist-01,0.5124,0.29,0.0,0.21,
Asturian,Occitan,Closely related,48.0,77.0,29.0,0.0,CMU-03,1.74,0.8,-0.94,it-ist-01,0.991,,0.64,0.0,
Bashkir,Azeri,Distantly related,39.0,69.0,30.0,4.0,it-ist-02,1.64,0.69,-0.95,it-ist-02,0.962,0.64,0.0,0.0,
Bashkir,Crimean Tatar,Closely related,70.0,70.0,0.0,-21.0,CMU-03,0.39,0.42,0.03,CMU-03,0.9500000000000001,0.67,0.0,0.22,
Bashkir,Kazakh,Closely related,80.0,90.0,10.0,4.0,it-ist-01,0.32,0.1,-0.22,it-ist-01,0.962,0.8,,0.0,
Bashkir,Khakas,Distantly related,86.0,96.0,10.0,10.0,it-ist-02,0.18,0.04,-0.14,it-ist-02,0.962,0.58,,0.0,
Bashkir,Tatar,Closely related,68.0,74.0,6.0,-16.0,it-ist-02,0.46,0.33,-0.13,CMU-03,0.982,0.67,0.0,0.22,
Bashkir,Turkmen,Distantly related,94.0,88.0,-6.0,-2.0,it-ist-01,0.1,0.12,0.02,it-ist-01,0.962,0.89,,0.0,
Basque,Kashubian,Unrelated,40.0,76.0,36.0,8.0,CMU-03,1.16,0.42,-0.74,CMU-03,0.0,0.0,0.0,,
Belarusian,Old Irish,Distantly related,2.0,10.0,8.0,2.0,CMU-03,3.9,3.14,-0.76,CMU-03,0.3931,0.5,0.33,0.0,
Bengali,Greek,Distantly related,17.7,74.6,56.9,42.3,CMU-03,2.86,0.59,-2.27,CMU-03,0.47401821824181006,0.56,0.29,0.0,
Bulgarian,Old Church Slavonic,Closely related,44.0,56.0,12.0,3.0,CMU-03,1.14,1.06,-0.08,CMU-03,0.1519,0.42,0.0,0.0,
Czech,Kashubian,Closely related,52.0,78.0,26.0,10.0,CMU-03,0.84,0.36,-0.48,CMU-03,0.3229,0.82,0.0,0.0,
Czech,Latin,Distantly related,8.4,42.0,33.6,8.9,CMU-03,2.95,1.36,-1.59,CMU-03,0.8573000000000001,0.58,0.54,0.59,
Danish,Middle High German,Closely related,72.0,82.0,10.0,-2.0,it-ist-02,0.5,0.38,-0.12,it-ist-02,0.19790000000000002,0.5,0.43,,
Danish,Middle Low German,Closely related,36.0,44.0,8.0,-10.0,it-ist-01,1.44,1.26,-0.18,it-ist-01,0.1079,0.38,0.4,0.0,
Danish,North Frisian,Closely related,28.0,46.0,18.0,1.0,CMU-03,2.78,2.11,-0.67,CMU-03,0.0679,0.0,0.25,,
Danish,West Frisian,Closely related,42.0,43.0,1.0,-13.0,CMU-03,1.57,1.27,-0.3,it-ist-02,0.0679,0.0,0.38,,
Danish,Yiddish,Closely related,76.0,67.0,-9.0,-20.0,it-ist-01,0.91,0.72,-0.19,Tuebingen-01,0.1079,0.3,0.27,0.0,
Dutch,Middle High German,Closely related,76.0,78.0,2.0,-6.0,it-ist-01/it-ist-02,0.44,0.36,-0.08,it-ist-02,0.6169,0.0,1.0,0.0,
Dutch,Middle Low German,Closely related,42.0,52.0,10.0,-2.0,it-ist-02,1.34,1.16,-0.18,it-ist-02,0.7869,0.0,0.92,0.2,
Dutch,North Frisian,Closely related,32.0,46.0,14.0,1.0,CMU-03,2.67,1.99,-0.68,CMU-03,0.6169,,0.53,0.0,
Dutch,West Frisian,Closely related,38.0,51.0,13.0,-5.0,it-ist-02,2.18,1.18,-1.0,it-ist-02,0.6169,,0.73,0.0,
Dutch,Yiddish,Closely related,78.0,64.0,-14.0,-23.0,it-ist-01,0.53,0.72,0.19,Tuebingen-01,0.7531,0.0,0.64,0.29,
English,Murrinhpatha,Unrelated,22.0,42.0,20.0,4.0,it-ist-02,1.68,1.1,-0.58,it-ist-02,1.0,,0.23,,
English,North Frisian,Closely related,31.0,42.0,11.0,-3.0,CMU-03,2.73,2.22,-0.51,it-ist-02,1.0,,0.28,,
English,West Frisian,Closely related,35.0,43.0,8.0,-13.0,CMU-03,1.48,1.26,-0.22,it-ist-02,1.0,,0.43,,
Estonian,Ingrian,Closely related,30.0,44.0,14.0,-2.0,it-ist-02,1.56,1.24,-0.32,it-ist-02,0.5486,0.67,0.0,0.0,
Estonian,Karelian,Closely related,74.0,68.0,-6.0,-26.0,it-ist-01,0.52,0.62,0.1,it-ist-02,0.5486,0.75,0.0,0.0,
Estonian,Livonian,Closely related,36.0,40.0,4.0,5.0,it-ist-02,1.87,1.47,-0.4,it-ist-02,0.7886,0.4,0.64,0.0,
Estonian,Votic,Closely related,25.0,35.0,10.0,1.0,it-ist-01,1.55,1.17,-0.38,it-ist-02,0.5486,0.78,0.0,,
Finnish,Ingrian,Closely related,54.0,48.0,-6.0,2.0,it-ist-02,1.08,1.2,0.12,it-ist-02,0.5152,0.67,0.0,0.22,
Finnish,Karelian,Closely related,70.0,78.0,8.0,-16.0,it-ist-01,0.64,0.42,-0.22,it-ist-01,0.5698,0.84,0.0,0.53,
Finnish,Livonian,Closely related,22.0,34.0,12.0,-1.0,CMU-03/it-ist-01,2.48,1.71,-0.77,it-ist-01,0.8098000000000001,0.47,0.58,0.35,
Finnish,Votic,Closely related,42.0,40.0,-2.0,6.0,it-ist-02,1.25,1.02,-0.23,it-ist-02,0.4852,0.68,0.0,0.0,
French,Occitan,Closely related,50.0,80.0,30.0,3.0,CMU-03,1.22,0.69,-0.53,it-ist-01,1.0,,0.89,,
German,Middle High German,Closely related,72.0,82.0,10.0,-2.0,CMU-03,0.44,0.32,-0.12,it-ist-02,0.608,1.0,1.0,,
German,Middle Low German,Closely related,42.0,52.0,10.0,-2.0,it-ist-02,1.24,1.16,-0.08,it-ist-02,0.518,0.83,0.92,0.0,
German,Yiddish,Closely related,77.0,68.0,-9.0,-19.0,it-ist-01,0.46,0.72,0.26,Tuebingen-01,0.41,0.08,0.64,0.0,
Greek,Bengali,Distantly related,51.0,67.0,16.0,-5.0,CMU-03,1.21,1.02,-0.19,CMU-03,0.47401821824181006,0.56,0.29,0.0,
Hebrew,Classical Syriac,Closely related,89.0,95.0,6.0,-1.0,CMU-03,0.14,0.06,-0.08,CMU-03,0.2724,0.26,0.0,0.0,
Hebrew,Maltese,Closely related,37.0,47.0,10.0,-2.0,CMU-03,1.24,1.1,-0.14,CMU-03,0.7276,0.0,0.56,,
