,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.815,0.837,0.507,1.165,0,0.648,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.815,0,0,0,0.833,0.742,0.943,0,0.619,0,0,0,0,0,0,0
Tense,0,0.837,0,0,0.833,0,1.029,0.8,0,0.961,0,0,0,1.428,0,0,0
Mood,0,0.507,0,0,0.742,1.029,0,0.77,0,0.908,0,0,0,0,0,0,0
Case,0,1.165,0,0,0.943,0.8,0.77,0,0,0.677,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.648,0,0,0.619,0.961,0.908,0.677,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,1.428,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
