,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.773,0.45,0.643,0,0,0,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.773,0,0,0,0,0.547,0.96,0,0,0.755,0,0,0,0.403,0,0
Tense,0,0.45,0,0,0,0,0.685,0,0,0,0,0,0,0,0,0,0
Mood,0,0.643,0,0,0.547,0.685,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.96,0,0,0,0,0,0.654,0,0,0,0.395,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0.755,0,0,0.654,0,0,0,0,0,0,0.436,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0.403,0,0,0.395,0,0,0.436,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
