,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.76,0.467,0.305,0,0,0.321,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.76,0,0,0,0.539,0.357,0.618,0.658,0.41,0,0,0,0,0,0,0
Tense,0,0.467,0,0,0.539,0,0.982,0,0,0.78,0,0,0,0.665,0,0,0
Mood,0,0.305,0,0,0.357,0.982,0,0,0,0.602,0,0,0,0,0,0,0
Case,0,0,0,0,0.618,0,0,0,0.699,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0.658,0,0,0.699,0,0,0,0,0,0,0,0,0
Aspect,0,0.321,0,0,0.41,0.78,0.602,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0.665,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
