,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.739,0,0.517,0,0,0,0.797,0,0.243,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.739,0,0,0,0,0.779,0.045,-0.01,0,0.883,0,0.437,0,0,0,0
Tense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mood,0,0.517,0,0,0.779,0,0,0,0,0,0.158,0,0.54,0,0,0,0
Case,0,0,0,0,0.045,0,0,0,0.269,0,0.155,0,0,0,0,0,0
Definiteness,0,0,0,0,-0.01,0,0,0.269,0,0,-0.113,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0.797,0,0,0.883,0,0.158,0.155,-0.113,0,0,0,0.244,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0.243,0,0,0.437,0,0.54,0,0,0,0.244,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
