,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.937,0.635,0.434,0,0,0.412,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.937,0,0,0,0.675,0.438,0,0,0.414,1.008,0,0,0,0,0,0
Tense,0,0.635,0,0,0.675,0,0.815,0,0,1.09,0,0,0,0,0,0,0
Mood,0,0.434,0,0,0.438,0.815,0,0,0,1.3,0,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.412,0,0,0.414,1.09,1.3,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,1.008,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
