,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.833,0.69,0,0,0,0.342,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.833,0,0,0,0.614,0,0.352,-0.213,0.3,0.842,0,0,0,0,0,0
Tense,0,0.69,0,0,0.614,0,0,0.245,0.175,0.8,0.248,0,-0.243,0,0,0,0
Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.352,0.245,0,0,0.894,0,-0.395,0,0.186,0,0.146,0,0
Definiteness,0,0,0,0,-0.213,0.175,0,0.894,0,0,0.228,0,0.125,0,0.076,0,0
Aspect,0,0.342,0,0,0.3,0.8,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0.842,0.248,0,-0.395,0.228,0,0,0,0.155,0,-0.088,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,-0.243,0,0.186,0.125,0,0.155,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0.146,0.076,0,-0.088,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
