,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0.656,0.205,0.272,0.6,0,0,0,-0.231,-0.093,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0.656,0,0,1.517,0.094,-0.162,0,0,0,-0.127,0,0,0,0,0,0
Number,0,0.205,0,1.517,0,0.234,-0.222,0.996,0,0,0.899,1.155,0,0,0,0,0
Tense,0,0.272,0,0.094,0.234,0,1.566,0,0,0,0.235,-0.177,0,0,0,0,0
Mood,0,0.6,0,-0.162,-0.222,1.566,0,0,0,0,-0.105,0.616,0,0,0,0,0
Case,0,0,0,0,0.996,0,0,0,0,0,0.752,0.898,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,-0.231,0,-0.127,0.899,0.235,-0.105,0.752,0,0,0,0.89,0,0,0,0,0
Animacy,0,-0.093,0,0,1.155,-0.177,0.616,0.898,0,0,0.89,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
