,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.144,0,0.763,0.102,0.203,0,0,0.177,0,0,0.173,0,0,0,0
Polarity,0,0.144,0,0,0.106,0.054,0.517,0,0,0.538,0,0,0.21,0,0,0,0
Politeness,0,0,0,0,0.536,0,0,0,0.245,0,0,0,0,0,0,0,0
Number,0,0.763,0.106,0.536,0,0.125,0.14,0,0.309,0.16,0,0,0.159,0,0,0,0.919
Tense,0,0.102,0.054,0,0.125,0,0.681,0,0,0.633,0,0,0,0,0,0,0
Mood,0,0.203,0.517,0,0.14,0.681,0,0,0,0.494,0,0,0.453,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0.245,0.309,0,0,0,0,0,0,0,0,0,0,0,1.502
Aspect,0,0.177,0.538,0,0.16,0.633,0.494,0,0,0,0,0,0.048,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0.173,0.21,0,0.159,0,0.453,0,0,0.048,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0.919,0,0,0,1.502,0,0,0,0,0,0,0,0
