,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.907,0.296,0.495,0,0,0.433,0.205,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.907,0,0,0,0.31,0.524,0,0,0.324,1.359,0,0,0,0,0,0
Tense,0,0.296,0,0,0.31,0,0.946,0,0,1.211,0.34,0,0,0,0,0,0
Mood,0,0.495,0,0,0.524,0.946,0,0,0,1.246,-0.504,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.433,0,0,0.324,1.211,1.246,0,0,0,0.728,0,0,0,0,0,0
Gender,0,0.205,0,0,1.359,0.34,-0.504,0,0,0.728,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
