,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,-0.216,0,0.672,0.611,0.78,0,0,0.387,0,0,0,0,0,0,0
Polarity,0,-0.216,0,0,0.231,0.502,0.353,0,0,0.574,0,0,0.289,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.672,0.231,0,0,0.315,0.264,0.443,0,0.229,0,0,1.223,0,0,0,0
Tense,0,0.611,0.502,0,0.315,0,0.895,0,0,0.659,0,0,0.116,0,0,0,0
Mood,0,0.78,0.353,0,0.264,0.895,0,0,0,0.492,0,0,-0.066,0,0,0,0
Case,0,0,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.387,0.574,0,0.229,0.659,0.492,0,0,0,0,0,0.13,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0.289,0,1.223,0.116,-0.066,0,0,0.13,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
