,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.403,0,-0.272,-1.207,0.33,0,0,0.398,0,0,0,0,0,0,0
Polarity,0,0.403,0,0,-0.026,0.547,0.546,0,0,0.748,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,-0.272,-0.026,0,0,-1.288,-0.332,0.522,0,0.347,0,0,0,0,0,0,0
Tense,0,-1.207,0.547,0,-1.288,0,0.612,0,0,1.059,0,0,0,0,0,0,0
Mood,0,0.33,0.546,0,-0.332,0.612,0,0,0,0.666,0,0,0,0,0,0,0
Case,0,0,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.398,0.748,0,0.347,1.059,0.666,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
