,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.658,0.424,0.415,0,0,0.612,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.658,0,0,0,0.248,0.413,0.744,0.279,0.458,1.674,0,0,0,0.171,0,0
Tense,0,0.424,0,0,0.248,0,0.912,0,0,0.808,0,0,0,0,0,0,0
Mood,0,0.415,0,0,0.413,0.912,0,0,0,1.057,0,0,0,0,0,0,0
Case,0,0,0,0,0.744,0,0,0,0.655,0,1.216,0,0,0,0,0,0
Definiteness,0,0,0,0,0.279,0,0,0.655,0,0,0,0,0,0,0,0,0
Aspect,0,0.612,0,0,0.458,0.808,1.057,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,1.674,0,0,1.216,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
