,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.648,0.528,0.52,0,0,0.174,0.15,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0.235,0,-1.172,0,0,0,0,0,0,0,0,0,0
Number,0,0.648,0,0.235,0,0.445,0.528,0,0,0.295,0.632,0,0,0,0,0,0
Tense,0,0.528,0,0,0.445,0,1.25,0,0,0.354,0.331,0,0,0,0,0,0
Mood,0,0.52,0,-1.172,0.528,1.25,0,0,0,-0.009,0.6,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.174,0,0,0.295,0.354,-0.009,0,0,0,0.195,0,0,0,0,0,0
Gender,0,0.15,0,0,0.632,0.331,0.6,0,0,0.195,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
