,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0.081,0,0,0.04,0,0,0,0,0,0,0,0,-0.027
Person,0,0,0.1,0,0.982,0.113,0.274,0,0,0.26,0,0,0,0,0,0,0
Polarity,0,0.1,0,0,0.148,0.184,0.413,0,0,0.434,0,0,0,0.978,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0.081,0.982,0.148,0,0,0.33,0.475,-0.006,-0.075,0.609,0,0,0,0,0,0,-0.168
Tense,0,0.113,0.184,0,0.33,0,0.984,0,0,0.615,0,0,1.253,1.445,0,0,0
Mood,0,0.274,0.413,0,0.475,0.984,0,0,0,0.594,0,0,0,0,0,0,0
Case,0.04,0,0,0,-0.006,0,0,0,0.329,0,0,0,0,0,0,0,0.036
Definiteness,0,0,0,0,-0.075,0,0,0.329,0,0,0,0,0,0,0,0,0.599
Aspect,0,0.26,0.434,0,0.609,0.615,0.594,0,0,0,0,0,1.576,1.573,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,1.253,0,0,0,1.576,0,0,0,0,0,0,0
Finiteness,0,0,0.978,0,0,1.445,0,0,0,1.573,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,-0.027,0,0,0,-0.168,0,0,0.036,0.599,0,0,0,0,0,0,0,0
