,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.485,0,0.355,0.34,0.581,0,0,0,0.67,0,0,0,0,0,0
Polarity,0,0.485,0,0,0.388,0.13,1.582,0,0,0,0.474,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.355,0.388,0,0,0.306,0.368,0.172,0,0,0.97,0,0,0,0,0,0
Tense,0,0.34,0.13,0,0.306,0,0.416,0,0,0,0.282,0,0,0,0,0,0
Mood,0,0.581,1.582,0,0.368,0.416,0,0,0,0,0.267,0,0,0,0,0,0
Case,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0.67,0.474,0,0.97,0.282,0.267,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
