,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.123,0,0.118,0.776,0.017,0,0,0.417,0,0,0,0,0,0,0
Polarity,0,0.123,0,0,-0.121,0,0.494,0.507,0,0.488,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.118,-0.121,0,0,0,0,0.839,0.627,1.049,0,0,0,0,0,0,0
Tense,0,0.776,0,0,0,0,0.439,0,0,0.732,0,0,0,0,0,0,0
Mood,0,0.017,0.494,0,0,0.439,0,0,0,0.944,0,0,0,0,0,0,0
Case,0,0,0.507,0,0.839,0,0,0,0.573,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0.627,0,0,0.573,0,0,0,0,0,0,0,0,0
Aspect,0,0.417,0.488,0,1.049,0.732,0.944,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
