,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.878,0.667,0.642,0,0,0.411,0,0,0.517,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.878,0,0,0,0.456,0.344,1.021,0,0.437,0.71,0,0.55,0,0,0,0
Tense,0,0.667,0,0,0.456,0,0.88,0,0,0.874,0,0,0.113,0,0,0,0
Mood,0,0.642,0,0,0.344,0.88,0,0,0,0.886,0,0,0.635,0,0,0,0
Case,0,0,0,0,1.021,0,0,0,0,0,0.64,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.411,0,0,0.437,0.874,0.886,0,0,0,0,0,0.243,0,0,0,0
Gender,0,0,0,0,0.71,0,0,0.64,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0.517,0,0,0.55,0.113,0.635,0,0,0.243,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
