,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.808,0.774,0.648,0,0,0,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.808,0,0,0,0.701,0.711,0.971,0,0,0.844,0,0,0,0.298,0,0
Tense,0,0.774,0,0,0.701,0,1.104,0,0,0,0,0,0.803,0,0,0,0
Mood,0,0.648,0,0,0.711,1.104,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.971,0,0,0,0,0,0.71,0,0,0,0.217,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0.844,0,0,0.71,0,0,0,0,0,0,0.264,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0.803,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0.298,0,0,0.217,0,0,0.264,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
