,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0.251,0,0,-0.046,0,0,0,0,0,0,0,0,0
Person,0,0,0.579,0,0.644,0.761,0.661,0,0,0,0,0,0,0,0,0,0
Polarity,0,0.579,0,0,0.335,0.848,0.681,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0.251,0.644,0.335,0,0,0.489,0.6,0.74,0,0,0,0,0,0,0,0,0
Tense,0,0.761,0.848,0,0.489,0,0.667,0,0,0,0,0,0,0,0,0,0
Mood,0,0.661,0.681,0,0.6,0.667,0,0,0,0,0,0,0,0,0,0,0
Case,-0.046,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
