,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.354,0.469,0.32,0,0,0,0.47,0,0.406,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.354,0,0,0,0.52,-0.251,1.006,0,0,0.792,1.012,0.418,0,0,0,0
Tense,0,0.469,0,0,0.52,0,1.162,0,0,0,0.195,0,1.145,0,0,0,0
Mood,0,0.32,0,0,-0.251,1.162,0,0,0,0,-0.084,0,0,0,0,0,0
Case,0,0,0,0,1.006,0,0,0,0,0,0.799,1.098,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0.47,0,0,0.792,0.195,-0.084,0.799,0,0,0,1.2,0.124,0,0,0,0
Animacy,0,0,0,0,1.012,0,0,1.098,0,0,1.2,0,0,0,0,0,0
Voice,0,0.406,0,0,0.418,1.145,0,0,0,0,0.124,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
