,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.617,0,0.811,0.548,0.566,0,0,0.229,0,0,0,0,0,0,0
Polarity,0,0.617,0,0,0.872,0,-0.195,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.811,0.872,0,0,0.621,0.322,0,0,0.207,0.702,0,0,0,0,0,0
Tense,0,0.548,0,0,0.621,0,0.89,0,0,0.922,0,0,0,0,0,0,0
Mood,0,0.566,-0.195,0,0.322,0.89,0,0,0,0.673,0,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.229,0,0,0.207,0.922,0.673,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
