,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0.627,-0.628,0,0.852,0,0,0,0,0,0,0,0,0.606
Person,0,0,0.293,0,1.161,0.594,0,0,0,0,0,0,0,0,0,0,0
Polarity,0,0.293,0,0,0.644,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0.627,1.161,0.644,0,0,0.828,0,0.677,0,0,0,0,0,0,0,0,0.634
Tense,-0.628,0.594,0,0,0.828,0,0,0,0,0,0,0,0,0,0,0,0
Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case,0.852,0,0,0,0.677,0,0,0,0,0,0,0,0,0,0,0,0.567
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0.606,0,0,0,0.634,0,0,0.567,0,0,0,0,0,0,0,0,0
