,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.749,0,0.06,0,0,0.436,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.749,0,0,0,0,0.156,0,-0.737,0.59,1.063,0,0,0,0,0,0
Tense,0,0,0,0,0,0,0,0,0,1.037,0,0,0,0,0,0,0
Mood,0,0.06,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0.747,0,0.739,0,0,0,0,0,0
Definiteness,0,0,0,0,-0.737,0,0,0.747,0,0,0.564,0,0,0,0,0,0
Aspect,0,0.436,0,0,0.59,1.037,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,1.063,0,0,0.739,0.564,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
