,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0.219,0,0.874,0.448,0.728,0,0,0.513,0,0,0,0,0,0,0
Polarity,0,0.219,0,0,0.352,0,0.059,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.874,0.352,0,0,0.479,0.69,0,0,0.185,0.8,0,0,0,0,0,0
Tense,0,0.448,0,0,0.479,0,0.712,0,0,1.068,0,0,0,0,0,0,0
Mood,0,0.728,0.059,0,0.69,0.712,0,0,0,1.008,0,0,0,0,0,0,0
Case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.513,0,0,0.185,1.068,1.008,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
