,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0,0,0,0,0,0,0.07,0.756,0,1.125,0,0,0,0.374,0,0
Tense,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0
Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.07,0,0,0,0.14,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0.756,0,0,0.14,0,0,1.102,0,0,0,0.795,0,0
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,1.125,0,0,0,1.102,0,0,0,0,0,0.632,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0.401,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0
Comparison,0,0,0,0,0.374,0,0,0,0.795,0,0.632,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
