,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.905,0.67,0.652,0.465,0,0.536,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0.949,0.905,0,0,0,0.557,0.738,0.619,0,0.545,0,0,0,0,0,0,0
Tense,0,0.67,0,0,0.557,0,0.689,0.997,0,0.907,0,0,0,0,0,0,0
Mood,0,0.652,0,0,0.738,0.689,0,0.977,0,0.573,0,0,0,0,0,0,0
Case,0,0.465,0,0,0.619,0.997,0.977,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.536,0,0,0.545,0.907,0.573,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
