,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0,0,0,0,0,0,0.089,0.788,0,1.005,0,0,0,0,0,0.261
Tense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.089,0,0,0,0.41,0,0.326,0,0,0,0,0,0.385
Definiteness,0,0,0,0,0.788,0,0,0.41,0,0,0.325,0,0,0,0,0,0.472
Aspect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,1.005,0,0,0.326,0.325,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0.261,0,0,0.385,0.472,0,0,0,0,0,0,0,0
