,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,-0.175,0,0.968,0.418,0,0,0,0.314,0,0,0,0,0,0.341,0
Polarity,0,-0.175,0,0,0.489,0.272,0,0,0,0.28,0,0,0,0,0,0.128,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0.968,0.489,0,0,0.43,0,0.284,0,0.498,0,0,0,0,0,0.555,0.436
Tense,0,0.418,0.272,0,0.43,0,0,1.101,0,0.514,0,0,0,0,0,0.386,0
Mood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case,0,0,0,0,0.284,1.101,0,0,0,0,0,0,0,0,0,0,0.288
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.314,0.28,0,0.498,0.514,0,0,0,0,0,0,0,0,0,0.317,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0.341,0.128,0,0.555,0.386,0,0,0,0.317,0,0,0,0,0,0,0
Possession,0,0,0,0,0.436,0,0,0.288,0,0,0,0,0,0,0,0,0
