,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,0.577,0.557,0.665,0,0,0.243,0.202,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0.128,0,-0.97,0,0,0,0,0,0,0,0,0,0
Number,0,0.577,0,0.128,0,0.475,0.658,1.188,0,0.319,0.678,0,0,0,0,0,0
Tense,0,0.557,0,0,0.475,0,1.213,0,0,0.414,0.347,0,0,0,0,0,0
Mood,0,0.665,0,-0.97,0.658,1.213,0,0,0,0.019,0.611,0,0,0,0,0,0
Case,0,0,0,0,1.188,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.243,0,0,0.319,0.414,0.019,0,0,0,0.199,0,0,0,0,0,0
Gender,0,0.202,0,0,0.678,0.347,0.611,0,0,0.199,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
