,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0,1.234,0.244,0.395,0,0,0.23,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,1.234,0,0,0,0.4,0.778,0.495,0,0.439,0,0,0,0,0,0,0.326
Tense,0,0.244,0,0,0.4,0,0.562,0,0,0.953,0.419,0,0,0,0,0,0
Mood,0,0.395,0,0,0.778,0.562,0,0,0,0,0.438,0,0,0,0,0,0
Case,0,0,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0.629
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,0.23,0,0,0.439,0.953,0,0,0,0,0.313,0,0,0,0,0,0
Gender,0,0,0,0,0,0.419,0.438,0,0,0.313,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0.326,0,0,0.629,0,0,0,0,0,0,0,0,0
