Source Language,Target Language,Distance,POS distribution similarity,Inflection shape similarity,Fusion similarity,N category overlap,V category overlap,ADJ category overlap,Source Language Baseline Accuracy (soft),Baseline Accuracy (soft),Transfer Accuracy (soft),Accuracy Improvement (soft),Source Language Baseline Levenshtein (soft),Baseline Levenshtein (soft),Transfer Levenshtein (soft),Levenshtein Improvement (soft),Source Language Baseline Accuracy (hard),Baseline Accuracy (hard),Transfer Accuracy (hard),Accuracy Improvement (hard),Source Language Baseline Levenshtein (hard),Baseline Levenshtein (hard),Transfer Levenshtein (hard),Levenshtein Improvement (hard)
Bashkir,Arabic,Unrelated,0.472,0.606,0.014,0.46,0.0,0.43,0.348,0.105,0.185,0.08,1.963,4.21,4.15,0.06,0.745,0.149,0.2,0.051,0.6975,3.82,3.61,0.21
Basque,Arabic,Unrelated,0.424,0.802,0.037,0.0,0.09,0.0,0.062,0.105,0.009,-0.096,4.008,4.21,6.47,-2.26,0.037,0.149,0.014,-0.135,4.4125,3.82,6.05,-2.23
Czech,Arabic,Unrelated,0.78,0.689,0.194,0.31,0.5,0.39,0.164,0.105,0.179,0.074,2.8335,4.21,4.3,-0.09,0.214,0.149,0.326,0.177,2.5675,3.82,2.88,0.95
Estonian,Arabic,Unrelated,0.86,0.828,0.252,0.23,0.46,0.0,0.233,0.105,0.174,0.069,2.7765,4.21,3.97,0.24,0.16,0.149,0.431,0.282,2.984,3.82,2.2,1.62
Georgian,Arabic,Unrelated,0.503,0.716,0.248,0.25,0.5,0.24,0.184,0.105,0.09,-0.015,2.7265,4.21,5.12,-0.91,0.435,0.149,0.064,-0.085,1.644,3.82,4.69,-0.87
Hebrew,Arabic,Closely related,0.694,0.831,0.252,0.26,0.39,0.0,0.203,0.105,0.193,0.088,1.9375,4.21,3.12,1.09,0.23,0.149,0.278,0.129,1.8255,3.82,2.66,1.16
Navajo,Arabic,Unrelated,0.545,0.73,0.47,0.0,0.18,0.0,0.103,0.105,0.316,0.211,4.4965,4.21,2.7,1.51,0.12,0.149,0.207,0.058,4.242,3.82,3.24,0.58
Quechua,Arabic,Unrelated,0.728,0.584,0.112,0.17,0.28,0.12,0.423,0.105,0.241,0.136,2.724,4.21,3.21,1.0,0.248,0.149,0.442,0.293,3.6765,3.82,2.26,1.56
Spanish,Arabic,Unrelated,0.424,0.704,0.391,0.0,0.52,0.0,0.201,0.105,0.265,0.16,2.9405,4.21,3.18,1.03,0.359,0.149,0.365,0.216,1.9515,3.82,2.19,1.63
Swedish,Arabic,Unrelated,0.804,0.627,0.187,0.45,0.27,0.25,0.36,0.105,0.198,0.093,1.8325,4.21,4.42,-0.21,0.489,0.149,0.232,0.083,1.382,3.82,3.15,0.68
Zulu,Arabic,Unrelated,0.853,0.462,0.307,0.07,0.21,0.07,0.043,0.105,0.117,0.012,3.589,4.21,4.16,0.05,0.041,0.149,0.213,0.064,3.5145,3.82,3.04,0.78
Arabic,Bashkir,Unrelated,0.472,0.606,0.014,0.46,0.0,0.43,0.105,0.348,0.372,0.024,4.2105,1.96,1.77,0.19,0.149,0.745,0.909,0.164,3.8215,0.7,0.2,0.5
Basque,Bashkir,Unrelated,0.0,0.46,0.0,0.0,0.0,0.0,0.062,0.348,0.356,0.008,4.008,1.96,1.74,0.23,0.037,0.745,0.073,-0.672,4.4125,0.7,4.3,-3.61
Crimean Tatar,Bashkir,Closely related,0.95,0.983,0.0,0.67,0.0,0.67,0.77,0.348,0.293,-0.055,1.435,1.96,2.4,-0.44,0.93,0.745,0.915,0.17,0.2,0.7,0.19,0.51
Czech,Bashkir,Unrelated,0.366,0.885,0.073,0.43,0.0,0.35,0.164,0.348,0.468,0.12,2.8335,1.96,1.11,0.85,0.214,0.745,0.912,0.167,2.5675,0.7,0.2,0.5
Estonian,Bashkir,Unrelated,0.546,0.709,0.087,0.24,0.0,0.0,0.233,0.348,0.382,0.034,2.7765,1.96,1.52,0.44,0.16,0.745,0.895,0.15,2.984,0.7,0.24,0.46
Georgian,Bashkir,Unrelated,0.956,0.869,0.159,0.36,0.0,0.36,0.184,0.348,0.316,-0.032,2.7265,1.96,2.47,-0.5,0.435,0.745,0.849,0.104,1.644,0.7,0.33,0.36
Navajo,Bashkir,Unrelated,0.122,0.206,0.0,0.0,0.0,0.0,0.103,0.348,0.695,0.347,4.4965,1.96,0.84,1.12,0.12,0.745,0.894,0.149,4.242,0.7,0.29,0.4
Quechua,Bashkir,Unrelated,0.731,0.912,0.111,0.26,0.0,0.21,0.423,0.348,0.822,0.474,2.724,1.96,0.49,1.47,0.248,0.745,0.92,0.175,3.6765,0.7,0.17,0.52
Spanish,Bashkir,Unrelated,0.0,0.803,0.0,0.0,0.0,0.0,0.201,0.348,0.458,0.11,2.9405,1.96,1.87,0.1,0.359,0.745,0.914,0.169,1.9515,0.7,0.19,0.51
Swedish,Bashkir,Unrelated,0.668,0.94,0.023,0.5,0.0,0.2,0.36,0.348,0.331,-0.017,1.8325,1.96,1.74,0.23,0.489,0.745,0.873,0.128,1.382,0.7,0.28,0.42
Turkish,Bashkir,Distantly related,0.748,0.84,0.064,0.32,0.0,0.1,0.176,0.348,0.478,0.13,3.789,1.96,1.55,0.42,0.145,0.745,0.901,0.156,5.175,0.7,0.21,0.49
Uzbek,Bashkir,Distantly related,0.965,0.921,0.112,0.53,,0.0,0.41,0.348,0.52,0.172,2.2,1.96,1.2,0.77,0.04,0.745,0.865,0.12,4.3,0.7,0.33,0.37
Zulu,Bashkir,Unrelated,0.599,0.094,0.114,0.12,0.0,0.08,0.043,0.348,0.356,0.008,3.589,1.96,1.9,0.06,0.041,0.745,0.88,0.135,3.5145,0.7,0.26,0.43
Crimean Tatar,Basque,Unrelated,0.043,0.469,0.0,0.0,0.03,0.0,0.77,0.062,0.065,0.003,1.435,4.01,4.2,-0.19,0.93,0.037,0.092,0.055,0.2,4.41,3.76,0.66
Danish,Basque,Unrelated,0.066,0.482,0.29,0.0,0.05,,0.454,0.062,0.066,0.004,1.4095,4.01,3.84,0.16,0.598,0.037,0.086,0.049,0.8705,4.41,4.14,0.27
Finnish,Basque,Unrelated,0.435,0.754,0.102,0.0,0.07,0.0,0.046,0.062,0.087,0.025,4.88,4.01,4.03,-0.02,0.096,0.037,0.075,0.038,4.511,4.41,4.28,0.14
Georgian,Basque,Unrelated,0.044,0.564,0.137,0.0,0.04,0.0,0.184,0.062,0.014,-0.048,2.7265,4.01,5.1,-1.09,0.435,0.037,0.024,-0.013,1.644,4.41,5.14,-0.73
Hebrew,Basque,Unrelated,0.729,0.737,0.17,0.0,0.07,,0.203,0.062,0.003,-0.059,1.9375,4.01,6.37,-2.36,0.23,0.037,0.019,-0.018,1.8255,4.41,5.06,-0.65
